Algorithm;Input;Solution;Time
greedy;178;2962.0;2.7769230769230773e-05
greedy;178000;46260.0;0.02253046153846154
greedy;179;2945.0;3.507692307692307e-05
greedy;179000;46348.0;0.023777769230769234
greedy;18;456.0;5.8461538461538454e-06
greedy;180;2968.0;2.646153846153846e-05
greedy;18000;24979.0;0.002554307692307692
greedy;180000;46142.0;0.023126769230769232
greedy;181;3000.0;2.7692307692307694e-05
greedy;181000;45933.0;0.024114923076923075
greedy;182;2988.0;2.8384615384615388e-05
greedy;182000;45821.0;0.023404230769230767
greedy;183;3283.0;2.8769230769230773e-05
greedy;183000;46226.0;0.022902923076923078
greedy;184;3072.0;2.6000000000000002e-05
greedy;184000;46340.0;0.023638999999999997
greedy;185;3066.0;3.0153846153846152e-05
greedy;185000;46500.0;0.02406976923076923
greedy;186;3340.0;2.830769230769231e-05
greedy;186000;46531.0;0.023863076923076928
greedy;187;2832.0;2.4692307692307695e-05
greedy;187000;46420.0;0.023302384615384617
greedy;188;3300.0;4.230769230769231e-05
greedy;188000;46484.0;0.023771230769230767
greedy;189;3125.0;2.6e-05
greedy;189000;46410.0;0.023695076923076923
greedy;19;388.0;6.153846153846152e-06
greedy;190;2869.0;2.546153846153847e-05
greedy;19000;26032.0;0.002651307692307692
greedy;190000;46560.0;0.023734769230769226
greedy;191;3406.0;3.123076923076923e-05
greedy;191000;46485.0;0.024465692307692306
greedy;192;3157.0;3.0384615384615376e-05
greedy;192000;46268.0;0.02442846153846154
greedy;193;3351.0;3.292307692307692e-05
greedy;193000;46449.0;0.024080384615384618
greedy;194;3283.0;2.4692307692307695e-05
greedy;194000;46370.0;0.02410369230769231
greedy;195;3227.0;3.115384615384615e-05
greedy;195000;46663.0;0.02541984615384615
greedy;196;3341.0;2.6846153846153848e-05
greedy;196000;46483.0;0.024306461538461537
greedy;197;3131.0;2.9538461538461537e-05
greedy;197000;46598.0;0.024147
greedy;198;3236.0;3.084615384615385e-05
greedy;198000;46448.0;0.024097692307692306
greedy;199;3632.0;2.984615384615385e-05
greedy;199000;46615.0;0.02562615384615384
greedy;2;55.0;3.923076923076923e-06
greedy;20;414.0;8.23076923076923e-06
greedy;200;2894.0;2.6692307692307696e-05
greedy;2000;9850.0;0.0002991538461538462
greedy;20000;26364.0;0.0035882307692307693
greedy;201;3379.0;3.338461538461538e-05
greedy;202;3566.0;2.5153846153846153e-05
greedy;203;3139.0;3.076923076923077e-05
greedy;204;3296.0;2.4769230769230767e-05
greedy;205;3104.0;2.6e-05
greedy;206;3147.0;3.215384615384616e-05
greedy;207;3358.0;2.8769230769230763e-05
greedy;208;3023.0;2.6461538461538463e-05
greedy;209;3490.0;2.8999999999999997e-05
greedy;21;570.0;5.307692307692307e-06
greedy;210;3211.0;3.0615384615384616e-05
greedy;21000;26036.0;0.0033045384615384608
